FEN,Evaluation
8/2p1pK1k/8/6P1/p7/2P5/8/8 b - - 1 53,#+53
8/1P4p1/5k2/1K1Q4/8/8/1q6/8 w - - 1 76,#+54
8/8/P7/1BK3k1/4b3/8/8/8 b - - 2 58,#+56
Q7/3n4/2k5/3p4/3K4/8/8/8 b - - 24 99,#+57
8/k4K2/6P1/4Q3/8/7q/8/8 w - - 9 96,#+59
3Q1Q2/6pk/8/5P2/3KR3/P7/1q6/8 w - - 13 71,#+6
R7/3k3P/5P2/5K2/8/6r1/p7/8 b - - 6 64,#+60
8/1k2K1P1/8/8/2q5/5Q2/8/8 b - - 14 103,#+63
8/2P1K1q1/3Q4/5p2/2k5/8/8/8 w - - 1 53,#+64
1r5r/5R1p/6n1/1b1B2Pk/p4P2/3N2K1/1PR4P/8 b - - 0 39,#+7
2r3k1/8/3R1KPP/8/8/8/8/8 b - - 8 83,#+8
8/5k2/2p4P/p1PpPK2/Pp1Pn3/1P6/8/4B3 b - - 2 63,#+9
5rk1/1p6/p1p5/P1Pp4/3PPn1P/3Q1qpK/1P3p2/3R3R w - - 2 45,#-0
5rnk/4b1np/p2p4/2pP1pPb/1qP1pP1P/pKN1B3/2BN2Q1/3R2R1 w - - 2 28,#-1
8/6p1/2p4p/2P4P/1p6/1P2K3/2kp4/8 b - - 4 49,#-10
8/8/8/4pB2/4Pbpk/7p/8/7K b - - 3 65,#-11
8/6pk/4p2p/7r/1Q2P3/1P4P1/1B3PK1/3q4 w - - 1 43,#-12
2k4r/2r2p2/4pPp1/1R1pP1N1/P2q2p1/2Q5/6KP/2R2b2 w - - 7 37,#-13
8/3p4/2kp3p/8/7p/1r6/5K1P/8 w - - 1 38,#-14
8/8/2q5/2P5/8/4Kpp1/6k1/Q7 w - - 1 64,#-15
8/8/8/3k2p1/4p3/4K3/8/8 w - - 0 49,#-16
3R4/8/8/8/8/5r1p/4k1pK/8 b - - 3 75,#-17
8/4b1k1/8/3P1K2/8/4N3/8/1q6 w - - 3 57,#-18
6R1/8/p7/P7/7n/3kq3/6K1/8 w - - 4 60,#-19
r5r1/2p2p1k/p4n2/4p2p/4N3/1NP1P2q/P1Q5/3RK1R1 b - - 0 34,#-2
6k1/p1K5/P2Rrp2/8/8/5p2/8/8 b - - 0 49,#-20
4k3/4P2R/3K4/8/8/8/4r1pp/8 w - - 0 82,#-21
8/8/5P2/8/6K1/5N2/4p3/3k1r2 w - - 1 77,#-22
7R/5p1p/6p1/1pQ3bk/1P6/4p3/5q2/7K b - - 9 49,#-23
6R1/8/8/8/4kq1p/8/8/7K w - - 2 72,#-24
7k/6p1/4Q2p/b3PK2/3q4/1p1r4/6PP/4R3 b - - 2 39,#-25
8/8/8/8/1p1p3p/4k1p1/3N2K1/8 w - - 4 66,#-26
8/8/8/2k5/8/8/3K4/2r5 b - - 1 72,#-27
8/2K5/8/P3q3/6k1/8/1P6/8 w - - 6 55,#-28
8/8/8/6N1/2K5/8/4n1kp/8 w - - 4 61,#-29
8/p5kp/1p4p1/1P3q2/P6K/8/8/8 b - - 3 45,#-3
8/8/8/5Q2/2p1k1P1/6K1/1p2q3/8 b - - 3 51,#-30
8/1b6/8/N7/P4k2/5pp1/8/6K1 w - - 0 64,#-31
8/8/8/4b2p/4kpp1/7P/5K2/4B3 b - - 5 56,#-32
8/K7/1p6/5Bp1/3k4/P1pn4/8/8 w - - 2 55,#-33
8/8/5k2/8/8/6pp/3r4/2R2K2 w - - 2 79,#-34
8/1q2N1K1/4kBP1/8/2p5/8/8/8 w - - 6 69,#-35
8/8/7Q/8/3q2P1/1k6/2p3K1/8 b - - 2 67,#-36
1R6/8/8/8/4b3/4k3/3r4/3K4 w - - 60 111,#-37
8/8/8/4p3/8/3q2P1/1p1k1PKP/5Q2 w - - 4 48,#-38
2R5/8/8/P3r1p1/1P1k4/6KP/3p4/8 w - - 4 58,#-39
8/5pp1/7R/p3bk2/Pr6/3q4/K7/8 w - - 6 54,#-4
8/8/6K1/5Q2/8/6pk/5p2/4q3 b - - 1 76,#-40
8/8/8/2p5/p1q5/5Q2/1k1K4/8 w - - 6 71,#-41
6k1/7p/4PP1b/8/8/n7/1p1NKB1r/8 w - - 1 48,#-42
7K/8/8/8/8/3Q4/4p1q1/5k2 b - - 11 76,#-43
8/7k/p2P2p1/4P1Qp/2P4K/8/8/7q w - - 1 46,#-44
8/pp6/8/4P3/1k1q2p1/8/Q2p4/5K2 w - - 6 66,#-45
8/2P4p/8/1K2k3/8/8/7P/5q2 w - - 0 58,#-46
8/8/8/1K4Q1/8/8/5q2/5k1q w - - 4 97,#-47
8/1R6/8/2k2K2/2p5/1p3B2/P4q2/8 w - - 4 67,#-48
8/8/8/8/6p1/4bk2/8/7K b - - 1 70,#-5
8/6R1/4k3/4P3/8/5K1p/6pr/8 w - - 0 51,#-50
8/8/8/8/5k2/6R1/3q4/6K1 w - - 6 83,#-53
1K6/2R5/3k4/q7/8/8/8/8 w - - 8 67,#-54
8/1K6/2nk4/5n2/8/8/4b3/8 b - - 15 76,#-6
8/8/8/1Qp5/8/pq6/1k2K3/8 w - - 4 73,#-61
8/8/8/P1pr4/8/1P6/1KP4R/3kq3 w - - 0 50,#-7
2Q5/6n1/3p2k1/1NpP4/2P2pp1/8/6PK/4q3 b - - 7 44,#-8
2r2rk1/1R3pbp/pQ1P2p1/P7/6N1/8/5PPP/2q2K2 w - - 0 45,#-9
8/R5kp/6p1/P4p2/4N3/1r3n2/5PKP/8 b - - 1 35,1
r1br2k1/pp3pp1/2nqpb1p/8/3P4/P1P1BN2/2BQ1PPP/2R2RK1 b - - 4 16,10
r2q1rk1/ppp1npbp/3p2p1/3Ppb2/2P5/1PB2NP1/P3PPBP/R2Q1RK1 w - - 1 12,100
6k1/5pBn/2Nb2p1/6P1/P1KP4/2P5/8/8 w - - 0 66,1000
7r/pq2p1k1/1r1p1p2/3P4/1P2PQ2/P2n2PB/5RK1/7R w - - 1 44,1001
7k/2R2n2/3p1r2/3P4/1P2PP1q/4Q2P/P3B2K/8 w - - 1 35,1002
4k3/6K1/4R2p/5P1P/8/3r2p1/8/8 b - - 7 48,1003
1Q6/8/5b2/5k1p/6bP/3K2P1/8/8 w - - 21 85,1004
7k/1b2n1bp/p1qp1n2/P1pN1p2/2B2P2/2BQ3P/1P4PK/3R4 w - - 3 32,1005
8/7k/8/6RP/6P1/r5K1/8/8 w - - 5 60,1006
2k1r3/ppp1r2p/2n1PPp1/8/8/7P/PB2R1P1/5R1K b - - 0 32,1007
5r2/7p/2R5/3P2pP/3kP3/5PK1/8/8 w - - 3 52,1008
r2r2k1/P3ppbp/1N4p1/3p4/5P2/4B2B/1P4PP/4R1K1 w - - 1 31,1009
1nk3q1/pp2bpp1/4p2p/2p1P2P/2P5/1PB2QN1/P4PP1/1K6 w - - 1 26,101
5k2/6p1/p1p1P2p/5PbP/4K3/2B5/PP4P1/8 b - - 0 43,1010
3r2k1/5b1p/P5p1/2pPp3/2B2r1q/3Q3P/6P1/1R3R1K w - - 0 39,1011
2b2k2/6r1/4p3/3p2P1/p1pP4/2P1Q3/2R3KP/1r6 w - - 0 49,1012
6r1/8/p2pP3/P1p5/N1P3BP/6K1/3k4/8 b - - 0 53,1013
r1b1r2k/ppnn3p/3p2q1/2pP2PN/2P1N3/P3Q3/1P2B3/2KR3R w - - 1 23,1014
r7/P5pp/1k2Pp2/1p1p1P2/3P1K1P/Rp6/1P6/8 w - - 0 37,1015
5k1r/ppp3p1/4Qn1p/3p4/3P3P/6P1/PPr5/5RK1 w - - 4 25,1016
6k1/5q1p/p2pN1p1/3P4/1P6/2Q5/6PP/4K3 b - - 4 42,1017
r7/bNpQnkpp/p3R3/1p6/1P5q/2P5/P4PPP/R5K1 b - - 0 21,1018
8/5k2/1p4pp/pR3p2/1p1P4/4P3/P4PPP/6K1 w - - 2 31,1019
rnb2rk1/3n1pbp/1q1p2p1/2pP2B1/N7/5N2/PP2BPPP/R2Q1RK1 b - - 0 14,102
2Q5/1p3Rnk/p7/6p1/3b1p2/2P4P/P4PPK/1q6 w - - 0 32,1020
3Q4/8/p5p1/P1r1kp1p/8/8/8/5K2 w - - 0 65,1021
5r1k/p5p1/7p/2b2r2/8/1Q3P2/P5PP/3R1R1K b - - 1 28,1022
7k/1N5p/p4pp1/P1P5/1P3n1r/2KB4/7P/R7 w - - 1 33,1023
r1bq1rk1/bp1pn1p1/p4p1p/3pPN2/3P3B/5N2/PP1Q1PPP/R3R1K1 w - - 0 19,1024
8/4Qpk1/5np1/3q4/5P2/K1QP4/8/8 b - - 4 52,1025
1q3nk1/6b1/p3P1pp/2pP4/2P1Q2N/6P1/7P/4B1K1 w - - 1 36,1026
5r2/6kp/2BP2p1/4pb2/2P5/1P5P/P2Q2PK/1r6 b - - 0 38,1027
4R1n1/pR3Npk/1pp3rp/3p1p2/3P1n2/1B6/P4PPP/6K1 w - - 1 32,1028
2kr1b1N/pp1n2pp/1qp5/5B2/3P1Bn1/8/PPP3PP/R2Q1RK1 b - - 0 17,1029
8/6k1/2r2p2/1R3K1P/6P1/8/8/8 b - - 22 103,103
rn1qr3/pp3pp1/1b1p2k1/3P1RN1/8/8/PP4PP/R1BQ3K b - - 2 18,1030
5k2/1p3n1r/p5K1/2PP1N2/PP2R3/8/4p1PP/8 b - - 1 43,1031
r3r3/1pp3q1/p1n1p1pk/8/4Q1Pp/2P2R2/PPB2P2/2R2K2 w - - 0 27,1032
4r3/6kp/P1R3n1/3PP1p1/2Bp4/3K4/5r1P/4R3 w - - 3 37,1033
7b/p7/1p1N4/4P2k/2Pn1P1p/BP3K1P/P7/8 w - - 1 51,1034
r3k3/8/3P2pp/1p3p2/2B5/2B1b2P/1P3nP1/R4R1K w - - 1 36,1035
r4qB1/1p1Q4/pp5p/4k3/PP2bnp1/2P4P/5PP1/R5K1 w - - 0 27,1036
r1q1bn2/4kpb1/pp4p1/2pP2P1/P1P2B2/1PNN2Q1/2K5/5R2 b - - 2 35,1037
2R1R3/r5pk/1p5p/p1b5/8/2P3NP/PP3PP1/6K1 w - - 1 33,1038
5n2/8/pK4kP/1p4P1/8/8/P1PB4/8 w - - 5 57,1039
r1bq1rk1/2p3bp/1np2pp1/6B1/3P4/P1N2N1P/P4PP1/R2QR1K1 w - - 0 16,104
2k5/3r3p/2bBQ3/8/2p1P3/1q4P1/5P1P/5RK1 w - - 1 47,1040
8/5pp1/1K3k1p/2Q1p2P/1PP5/8/3q1P2/8 w - - 2 41,1041
4n3/1k1b4/1P2p1p1/P2pPpPp/5P1P/2K1P3/4B3/8 b - - 0 66,1042
1R6/5n1k/6pp/1p5P/1PbBB3/P3P1P1/3r1K2/8 w - - 5 46,1043
8/3Rp1kp/3p4/3PP3/4p3/1P5P/4P1K1/2r5 w - - 0 43,1044
8/8/6k1/5pp1/6P1/5K1P/3N4/8 b - - 0 54,1045
5k2/2RP3p/4R3/1p6/4P1P1/p2K1r2/Pr6/8 w - - 1 67,1046
1k5r/R5pp/3Pnp2/2P1p3/8/6P1/P4B1P/7K w - - 1 43,1047
7r/6RP/2k5/8/2p5/1pK5/6P1/8 b - - 0 52,1048
6k1/1p1Q1p2/6p1/2p1P3/2P2P1p/1q5P/4NRnK/r7 w - - 0 37,1049
r1b2r1k/ppppn1qn/3b1p1p/6p1/1PBNP3/2P1B2Q/P4PPP/R3RNK1 b - - 2 18,105
r5k1/pp2rpb1/1q2pn2/4N1p1/8/2B2Q2/PPP5/1K1R3R w - - 0 25,1050
8/8/2k5/1rb5/7B/r1N5/1p2K3/1R1R4 w - - 8 56,1051
8/1p3pk1/p5p1/5b2/P7/4Q2P/2qQ1KP1/8 b - - 3 44,1052
8/1p4k1/p1pbr1qp/3p1b2/1P1P1P1Q/P5R1/3B2P1/5NK1 w - - 3 61,1053
3r1n1k/ppp5/7p/3PR2P/2P3P1/6K1/PP3P2/4R3 b - - 1 30,1054
r1b2b2/p6k/4p1pp/N1pnN3/Pp2Q3/4P1P1/1P2P2P/6K1 b - - 7 24,1055
7k/p4pp1/1q2p1p1/2r5/Q5P1/4B2P/PP3PB1/6K1 w - - 0 27,1056
2k2rr1/p5p1/2p3Pp/2Pp3P/3Bp1K1/1R6/P7/1R6 b - - 1 37,1057
2rr3k/1B2Npp1/1B1Pn2p/4P1q1/p7/6P1/4QP2/3R2K1 b - - 0 38,1058
8/5kR1/4p3/3rB3/3PK3/8/5P2/8 b - - 14 53,1059
2rq1rk1/p2nbp1p/b1p1p1p1/1p1P3n/2PP4/1P3NP1/P1Q1NPBP/2BR1RK1 b - - 0 15,106
6n1/6P1/1k6/p1pP4/2P5/1P2N3/6Kp/8 b - - 1 57,1060
6k1/2R5/7p/2P1K2P/8/5r2/8/8 b - - 0 58,1061
8/1p1k1p2/3p1q2/p1pP1N2/PnP1Q2P/1P4P1/6PK/8 w - - 1 43,1062
3r3k/p5b1/1p1pQ3/5R1p/6q1/3p2P1/P6P/5R1K w - - 2 37,1063
6k1/1K3q2/Q7/P7/8/5P2/8/8 w - - 15 72,1064
8/5k2/8/1r4RK/6P1/7P/8/8 b - - 0 52,1065
5bk1/1p1r3r/p1pP1q1p/2B1p1n1/NP3nQP/5pP1/P2R1P2/3R1BK1 w - - 4 35,1066
r3r1k1/1p1q1p1p/p2p1npQ/5N2/4P2R/4B3/PP5P/R5K1 b - - 1 26,1067
3R4/2P1nppk/B3p3/4P3/2Pr2p1/7P/8/6K1 b - - 4 42,1068
rn3rk1/4qpp1/1p1N3p/4PB2/1P3PP1/4RQ2/6K1/3R4 b - - 8 49,1069
1r3rk1/p4pp1/2R4p/q4b2/8/PB6/P3QPPP/4R1K1 b - - 0 19,107
6k1/p2r3p/4pQ2/3bR2N/2pP1p2/P1P5/5PPK/1q6 b - - 3 39,1070
8/5p1k/4p3/2K1PpPp/7P/4P3/8/8 w - - 3 66,1071
rq3k1r/1p3pb1/p4N2/2p1pB2/P1P3p1/2N5/1P4K1/3RQR2 b - - 0 29,1072
1rb3k1/p5b1/1pBqP2r/8/1P1N1ppp/7P/5PP1/1R1QR1K1 w - - 0 27,1073
8/6k1/p7/2p5/2P2pP1/7P/P6K/8 b - g3 0 41,1074
4R3/1r4p1/nkp4p/7P/3P4/6N1/1P3PP1/1K1R4 w - - 0 35,1075
3k4/5Rp1/7p/Pp5P/6r1/1KP5/8/8 w - - 0 41,1076
8/Q3n1kp/3q2p1/2p5/PpP2PPB/7P/P3r1B1/6RK b - - 4 40,1077
rn1q4/pb1nb2k/1p2p3/2pP2P1/Q2P2Bp/2NNB2P/PP2P1K1/R4r2 w - - 0 21,1078
3q4/1Q1n2kp/r2PBpp1/2p5/1p3P1P/1P4P1/P7/3R2K1 b - - 8 34,1079
8/4kpp1/4pn1p/2P1N3/2p4P/2K5/5PP1/8 w - - 0 33,108
3nr1k1/pbRp4/1p1P2qp/3PPp2/5B2/3Q2P1/P5BP/6K1 b - - 2 34,1080
6k1/2N2pp1/p6p/2p5/Ppp5/6P1/1bR2PBP/5K2 b - - 0 36,1081
8/4k3/1p2p3/4K1P1/pP1N1P2/P7/8/1b6 b - - 12 61,1082
4r1k1/1Q4pp/p1p3bq/2Pp4/P2n2P1/1P4P1/1B3R2/2R3K1 w - - 3 34,1083
6k1/5p1p/P3b3/1P1q4/8/4Qp2/4B1PP/6K1 w - - 0 36,1084
8/4k3/1n1R3p/4Pp2/3K1N2/1r4P1/3B3P/8 b - - 0 41,1085
8/R5p1/2k4p/8/1pP5/1P2B1P1/6KP/4n3 w - - 3 39,1086
5rk1/p4ppp/8/Bp2p3/3NB3/1P4P1/1r2PP1K/R7 w - - 0 23,1087
8/p3b3/4pk2/7K/8/1P1B2P1/2R5/8 w - - 1 53,1088
2kr2r1/pp1n4/1bp1Rp2/3p1Q1p/3P1B2/q5PB/5PKP/1R6 w - - 2 30,1089
r2qkbr1/pp3ppb/2p1pn1p/7N/2BP1B1P/2P5/PP3PP1/R2QK2R w KQq - 3 14,109
r3b3/3qPr1k/2p1R1p1/2Pp1p1p/pP1Q1P1P/P7/2B4K/4R3 w - - 4 46,1090
4k3/6Bp/p4p2/1p3P1P/r3N1P1/P4K2/8/8 w - - 1 60,1091
8/4kp2/8/b3PK2/2B2PP1/8/P7/8 b - - 6 85,1092
7r/1p4k1/pq1p4/3P2b1/4npQ1/5R1P/PPP2PP1/4R1K1 b - - 5 30,1093
3q1k2/8/1pQPp1p1/2p2pPp/2P2P2/1P4PK/8/8 w - - 7 58,1094
8/8/p1r5/6P1/1k6/6K1/R4P2/8 w - - 1 49,1095
8/6R1/5p1p/1p1kb2P/6P1/1K1PN3/PP4r1/8 b - - 2 39,1096
3R4/p1rN2pk/4p2p/2p5/2P5/1P2nP2/P5PP/6K1 w - - 4 33,1097
2Q1kb1r/r2n1ppp/p4q2/2p1p3/2B2B2/5P2/PP4PP/2KR3R b k - 5 21,1098
6k1/6p1/p1p5/2Pp2P1/P2B1Q2/1P5q/5K2/8 b - - 6 50,1099
5r2/1Br2p1k/pb4pp/1p2p3/4P3/2N4P/PP3PP1/2RR2K1 b - - 0 29,11
8/5B1p/3k2p1/p1n5/P2R4/1P4P1/1r3P2/6K1 b - - 1 46,110
r6r/p4pk1/1p3Rb1/3Q4/3P2PP/P7/1P6/6K1 w - - 1 37,1100
rb2k2r/1p1nqp2/1Pp4p/p1n1p3/P1B1P2N/2PQB3/5PPP/3RR1K1 w kq - 5 24,1101
1rq2bk1/1pn3p1/p1R2p1p/2pPpN2/P1P1P3/5P1P/1Q3P2/1R4K1 w - - 0 34,1102
r1b4r/ppppnk1p/5p2/2qN4/4P3/8/PPP3PP/R1BQ1R1K b - - 3 13,1103
1r1qr1k1/p4p2/3p1p1p/1R1Pp3/3b3B/3P3P/P4PP1/3Q1RK1 w - - 1 20,1104
6rk/1b1qpp2/p2p3P/P1pPnPP1/2P5/2QBB3/5K2/6R1 w - - 7 38,1105
3k4/8/pp2P2N/1n1K3P/1P6/8/8/8 b - - 0 54,1106
6k1/R7/5K2/5p1p/1p6/pN4PP/5r2/8 w - - 0 52,1107
8/p5k1/6p1/3P1P2/1P2NbPp/2K4P/8/8 b - - 2 58,1108
1b1r2k1/3P4/p1R1Q3/6p1/1P4P1/3R3P/P4q2/7K b - - 0 37,1109
6k1/5q1p/r1p1pbp1/1nPp4/1R1P1PP1/p2QBN1P/P5K1/8 w - - 1 38,111
7R/P2r4/2N5/1PKp1k2/r4P2/8/8/8 b - - 4 61,1110
r5r1/2Q1kp2/1p1p1q2/3Bp3/4P2p/2P3Np/P4P1P/R3R1K1 b - - 0 26,1111
4nrk1/p1q1ppbp/2np2p1/8/2PN4/1PN1B1P1/P3PP1P/R2Q1RK1 w - - 0 14,1112
r1q1r1k1/p4Nb1/6pB/2pP1b2/Pp5Q/8/1P5P/R4R1K w - - 1 30,1113
1r2kb1r/4pppp/R7/BPppNq2/4PP2/1b3Q2/1P4PP/5RK1 b k - 0 20,1114
2rqrk2/6bQ/p1p3Bp/2Ppp3/1P1Pp3/P1N3RP/5PP1/6K1 w - - 0 31,1115
2k5/p6p/1p3b2/5R2/4PB2/2P2P2/P6r/3R1K2 b - - 0 29,1116
4r1k1/3R3p/pp2K2P/2p2P2/8/2PP4/PP6/8 w - - 19 48,1117
8/3k2p1/1p6/4PP2/P2p4/2pK2P1/7P/8 w - - 1 40,1118
6rk/6qn/3pRpB1/p2P3Q/P1p4P/2P5/6P1/7K w - - 4 36,1119
rn1q1rk1/ppp2pbp/5np1/4p3/4P3/2N1BB2/PPP2PPP/R2Q1RK1 w - - 0 10,112
5rk1/R7/3p1q2/2pPprp1/1pP2P1p/1P5Q/5P2/2B2KR1 w - - 0 32,1120
6n1/7k/2R4p/1p1pPP2/1Pb5/7B/7K/8 b - - 0 48,1121
8/8/8/R1k1pp1p/3p1p2/5P2/4K1PP/8 b - - 1 53,1122
8/1p1k4/5K2/pP2P2p/P4n1P/2N5/8/8 w - - 1 59,1123
1N6/6pp/4p3/3k4/1P6/3K2P1/5P1P/8 b - - 2 36,1124
8/r1p1kn2/1pP3Q1/3Pp3/4P2P/8/7K/8 w - - 6 54,1125
r1b2r2/p4kbB/3p1q2/2pPp3/PpP4Q/1P4P1/5P1P/R1B2RK1 w - - 0 21,1126
5k2/pr4p1/2R2q1p/3nN2Q/8/P7/1P3PP1/K7 b - - 0 45,1127
1R6/3B1k1p/1b6/1NpP2p1/1p6/6P1/1P3PKP/r7 b - - 2 32,1128
3b3k/3q1rnp/pprP4/3N1pp1/P1PQ4/BP4P1/4R2P/4R2K b - - 6 35,1129
5k2/p4pp1/1p1Npn1p/3n3P/P7/2P5/1PK2PP1/2B5 w - - 0 36,113
3r1b1r/1k3ppp/R1nq4/1p6/2p1Q3/2B1P3/1P2BPPP/R5K1 b - - 2 22,1130
8/8/4k3/4B3/1R1P4/8/rP4P1/6K1 w - - 1 38,1131
r3nrk1/p4qb1/n1bp2p1/1ppPp3/2P1N1B1/P7/1P3PQ1/R1B1K2R w KQ - 2 25,1132
7k/r6P/4q3/pPpn1rR1/4pP2/PQ6/1P2P1BP/5RK1 w - - 0 27,1133
2q1r1k1/Pr6/1Qb1pNp1/P6p/2pR4/5p1B/5P2/4R1K1 b - - 3 58,1134
4r1k1/1b4bp/pp3p2/2p5/P1P1r2B/6QP/1P4P1/3R3K w - - 0 31,1135
6k1/5pb1/4q3/1Q1R2Bp/1p6/1P2rNnP/P1R3K1/8 b - - 0 47,1136
8/6pk/q2Nn2p/1p1QP3/rbpp4/3P4/6PP/1R3RK1 b - - 3 29,1137
3qr1k1/4p3/p2p2p1/1p2r1N1/5Q1P/1P6/1PP5/1K1R2R1 b - - 0 26,1138
2r2k2/p4p2/PbPP4/1N1KPpP1/B6p/8/6PP/8 b - - 0 55,1139
r1bqk2r/pp1n1pb1/3p1np1/2pPp1Bp/2P1P3/2NB3P/PP2NPP1/R2QK2R b KQkq - 3 9,114
2krq1r1/5pp1/p1n1pn1p/1p6/P1BP1B2/2P2Q1P/1R3PP1/1R4K1 b - - 0 20,1140
1r6/1P5p/8/pR4P1/P7/2p1k1K1/2Bp3P/8 w - - 1 49,1141
3qk3/pp2b3/4b1Q1/3p1p2/5P2/2BP4/PP6/2K4R b - - 0 29,1142
K7/1P6/8/2q5/Q7/8/8/7k b - - 14 105,1143
5nr1/2N2qr1/2Pp2k1/p2Np1b1/4Pp1R/5Pp1/PP1BQ1K1/7R w - - 6 36,1144
Q1n2b2/5q1r/kp3Pp1/pNp3B1/P6P/1PPP1p2/8/5RK1 b - - 3 33,1145
1Q6/1p1qk3/p1p1p1K1/P7/1P2P1P1/2P5/8/8 b - - 0 55,1146
1Q6/4kp1p/2B1b1p1/q2n4/1p3P2/1P4PP/P2R3K/8 w - - 8 39,1147
8/8/4b1p1/1pN1p1q1/5n2/5P2/3Q2PP/1k2B1K1 w - - 11 50,1148
4r1k1/5R2/7p/5R1P/4PKP1/1P3P2/r7/8 w - - 1 44,1149
r2qk2r/ppp2ppp/1b1p1n2/n3p3/3PP1b1/1BP1BN2/PP1N1PPP/R2QK2R w KQkq - 7 9,115
rn1qnr2/5p1k/b3pPp1/p2pP1p1/1ppP2P1/2P5/PPBNQ2P/R1B2RK1 w - - 0 19,1150
6k1/8/3pRB2/3P3B/5p1P/4b3/8/1r3K2 w - - 20 56,1151
3b4/6k1/bp1P1pp1/p2P4/P4P2/1rq3P1/5BR1/3QR1K1 w - - 4 41,1152
8/R5pk/4p3/4p2p/4Nq2/2P2PBP/6PK/8 b - - 3 41,1153
8/2p1kpBP/qp3p2/4p3/p2nP1Q1/1r4r1/1P1R2K1/3R4 w - - 0 41,1154
